name,mfr,mfrcode,type,typecode,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,4,C,1,70.3,4.3,1.3,130.3,10.3,5,6,280,25,3,1,0.33,68.402973
100% Natural Bran,Q,6,C,1,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
All-Bran,K,3,C,1,70.9,4.9,1.9,260.9,9.9,7,5,320,25,3,1,0.33,59.425505
All-Bran with Extra Fiber,K,3,C,1,49.3,3.3,0,139.3,13.3,8,0,330,25,3,1,0.5,93.704912
Almond Delight,R,7,C,1,109.6,1.6,1.6,199.6,0.6,14,8,-1,25,3,1,0.75,34.384843
Apple Cinnamon Cheerios,G,2,C,1,109.9,1.9,1.9,179.9,1.4,10.5,10,70,25,1,1,0.75,29.509541
Apple Jacks,K,3,C,1,108.2,0.2,0,123.2,0,11,14,30,25,2,1,1,33.174094
Basic 4,G,2,C,1,129.5,2.5,1.5,209.5,1.5,18,8,100,25,3,1.33,0.75,37.038562
Bran Chex,R,7,C,1,88.7,0.7,0,198.7,2.7,15,6,125,25,1,1,0.67,49.120253
Bran Flakes,P,5,C,1,90.6,3.6,0.6,210.6,5.6,13,5,190,25,3,1,0.67,53.313813
Cap'n'Crunch,Q,6,C,1,120.3,1.3,2.3,220.3,0.3,12,12,35,25,2,1,0.75,18.042851
Cheerios,G,2,C,1,111.1,7.1,3.1,291.1,3.1,17,1,105,25,1,1,1.25,50.764999
Cinnamon Toast Crunch,G,2,C,1,119.1,0.1,2.1,209.1,0,13,9,45,25,2,1,0.75,19.823573
Clusters,G,2,C,1,110.2,3.2,2.2,140.2,2.2,13,7,105,25,3,1,0.5,40.400208
Cocoa Puffs,G,2,C,1,111.3,2.3,2.3,181.3,1.3,12,13,55,25,2,1,1,22.736446
Corn Chex,R,7,C,1,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
Corn Flakes,K,3,C,1,98.3,0.3,0,288.3,0,21,2,35,25,1,1,1,45.863324
Corn Pops,K,3,C,1,109.2,0.2,0,89.2,0.2,13,12,20,25,2,1,1,35.782791
